,close,open,high,low,volume,change
2020-01-01,,,,,,
2020-01-02,3257.85,3244.67,3258.14,3235.53,-,0.01 
2020-01-03,3234.85,3226.36,3246.15,3222.34,-,(0.01)
2020-01-04,3238.66,3223.4233333333336,3246.38,3219.7733333333335,,
2020-01-05,3242.4700000000003,3220.4866666666667,3246.61,3217.2066666666665,,
2020-01-06,3246.28,3217.55,3246.84,3214.64,-,0.00 
2020-01-07,3237.18,3241.86,3244.91,3232.43,-,(0.00)
2020-01-08,3253.05,3238.59,3267.07,3236.67,-,0.00 
2020-01-09,3274.7,3266.03,3275.58,3263.67,-,0.01 
2020-01-10,3265.35,3281.81,3282.99,3260.86,-,(0.00)
2020-01-11,3272.943333333333,3278.25,3284.7033333333334,3263.383333333333,,
2020-01-12,3280.536666666667,3274.69,3286.4166666666665,3265.9066666666668,,
2020-01-13,3288.13,3271.13,3288.13,3268.43,-,0.01 
2020-01-14,3283.15,3285.35,3294.25,3277.19,-,(0.00)
2020-01-15,3289.29,3282.27,3298.66,3280.69,-,0.00 
2020-01-16,3316.81,3302.97,3317.11,3302.82,-,0.01 
2020-01-17,3329.62,3323.66,3329.88,3318.86,-,0.00 
2020-01-18,3327.4125,3323.0025,3329.8575,3318.2975,,
2020-01-19,3325.205,3322.3450000000003,3329.835,3317.735,,
2020-01-20,3322.9975,3321.6875,3329.8125,3317.1725,,
2020-01-21,3320.79,3321.03,3329.79,3316.61,-,(0.00)
2020-01-22,3321.75,3330.02,3337.77,3320.04,-,0.00 
2020-01-23,3325.54,3315.77,3326.88,3301.87,-,0.00 
2020-01-24,3295.47,3333.1,3333.18,3281.53,-,(0.01)
2020-01-25,3278.19,3304.4533333333334,3308.403333333333,3265.8533333333335,,
2020-01-26,3260.91,3275.8066666666664,3283.6266666666666,3250.1766666666667,,
2020-01-27,3243.63,3247.16,3258.85,3234.5,-,(0.02)
2020-01-28,3276.24,3255.35,3285.78,3253.22,-,0.01 
2020-01-29,3273.4,3289.46,3293.47,3271.89,-,(0.00)
2020-01-30,3283.66,3256.45,3285.91,3242.8,-,0.00 
2020-01-31,3225.52,3282.33,3282.33,3214.68,-,(0.02)
2020-02-01,3233.32,3266.773333333333,3277.7,3221.673333333333,,
2020-02-02,3241.12,3251.2166666666667,3273.07,3228.6666666666665,,
2020-02-03,3248.92,3235.66,3268.44,3235.66,-,0.01 
2020-02-04,3297.59,3280.61,3306.92,3280.61,-,0.02 
2020-02-05,3334.69,3324.91,3337.58,3313.75,-,0.01 
2020-02-06,3345.78,3344.92,3347.96,3334.39,-,0.00 
2020-02-07,3327.71,3335.54,3341.42,3322.12,-,(0.01)
2020-02-08,3335.8366666666666,3329.786666666667,3345.0333333333333,3320.67,,
2020-02-09,3343.9633333333336,3324.0333333333333,3348.646666666667,3319.22,,
2020-02-10,3352.09,3318.28,3352.26,3317.77,-,0.01 
2020-02-11,3357.75,3365.87,3375.63,3352.72,-,0.00 
2020-02-12,3379.45,3370.5,3381.47,3369.72,-,0.01 
2020-02-13,3373.94,3365.9,3385.09,3360.52,-,(0.00)
2020-02-14,3380.16,3378.08,3380.69,3366.15,-,0.00 
2020-02-15,3377.6925,3375.8199999999997,3379.27,3363.5150000000003,,
2020-02-16,3375.225,3373.56,3377.8500000000004,3360.88,,
2020-02-17,3372.7574999999997,3371.3,3376.4300000000003,3358.245,,
2020-02-18,3370.29,3369.04,3375.01,3355.61,-,(0.00)
2020-02-19,3386.15,3380.39,3393.52,3378.83,-,0.00 
2020-02-20,3373.23,3380.45,3389.15,3341.02,-,(0.00)
2020-02-21,3337.75,3360.5,3360.76,3328.45,-,(0.01)
2020-02-22,3300.463333333333,3326.2033333333334,3327.11,3290.5166666666664,,
2020-02-23,3263.1766666666667,3291.9066666666668,3293.46,3252.5833333333335,,
2020-02-24,3225.89,3257.61,3259.81,3214.65,-,(0.03)
2020-02-25,3128.21,3238.94,3246.99,3118.77,-,(0.03)
2020-02-26,3116.39,3139.9,3182.51,3108.99,-,(0.00)
2020-02-27,2978.76,3062.54,3097.07,2977.39,-,(0.04)
2020-02-28,2954.22,2916.9,2959.72,2855.84,-,(0.01)
2020-02-29,2999.5566666666664,2936.0266666666666,3003.4666666666667,2885.6233333333334,,
2020-03-01,3044.8933333333334,2955.1533333333336,3047.213333333333,2915.4066666666668,,
2020-03-02,3090.23,2974.28,3090.96,2945.19,-,0.05 
2020-03-03,3003.37,3096.46,3136.72,2976.63,-,(0.03)
2020-03-04,3130.12,3045.75,3130.97,3034.38,-,0.04 
2020-03-05,3023.94,3075.7,3083.04,2999.83,-,(0.03)
2020-03-06,2972.37,2954.2,2985.93,2901.54,-,(0.02)
2020-03-07,2897.1,2924.0966666666664,2945.25,2845.8366666666666,,
2020-03-08,2821.83,2893.9933333333333,2904.5699999999997,2790.133333333333,,
2020-03-09,2746.56,2863.89,2863.89,2734.43,-,(0.08)
2020-03-10,2882.23,2813.48,2882.59,2734.0,-,0.05 
2020-03-11,2741.38,2825.6,2825.6,2707.22,-,(0.05)
2020-03-12,2480.64,2630.86,2660.95,2478.86,-,(0.10)
2020-03-13,2711.02,2569.99,2711.33,2492.37,-,0.09 
2020-03-14,2602.7233333333334,2549.523333333333,2661.88,2455.2266666666665,,
2020-03-15,2494.4266666666667,2529.056666666667,2612.43,2418.0833333333335,,
2020-03-16,2386.13,2508.59,2562.98,2380.94,-,(0.12)
2020-03-17,2529.19,2425.66,2553.93,2367.04,-,0.06 
2020-03-18,2398.1,2436.5,2453.57,2280.52,-,(0.05)
2020-03-19,2409.39,2393.48,2466.97,2319.78,-,0.00 
2020-03-20,2304.92,2431.94,2453.01,2295.56,-,(0.04)
2020-03-21,2282.4133333333334,2384.8633333333332,2402.25,2260.9933333333333,,
2020-03-22,2259.9066666666668,2337.786666666667,2351.4900000000002,2226.4266666666667,,
2020-03-23,2237.4,2290.71,2300.73,2191.86,-,(0.03)
2020-03-24,2447.33,2344.44,2449.71,2344.44,-,0.09 
2020-03-25,2475.56,2457.77,2571.42,2407.53,-,0.01 
