Date,ProductName,ProductShortName,Holdings/Share,Holdings/Share 24h %,Holdings/Share Trailing 1 Month,Holdings/Share Trailing 3 Months,Holdings/Share Trailing 12 Months,Holdings/Share YTD,Holdings/Share Since Inception,Market Price/Share,Market Price/ Share 24h %,Market Price/Share Trailing 1 Month,Market Price/Share Trailing 3 Months,Market Price/Share Trailing 12 Months,Market Price/Share YTD,Market Price/Share Since Inception,Shares Outstanding,AUM,Disclaimer
2022/2/8,Grayscale Bitcoin Trust,btc,41.16,0.0027,0.0538,-0.3254,0.0293,-0.0631,293,31.35,0.0259,0.0198,-0.4001,-0.3139,-0.0847,0,692370100,28499063848,"This data is the exclusive property of Grayscale Investments, LLC (""Grayscale"") and may not be reproduced or disseminated in any form without prior written permission from Grayscale. This information is provided on an ""as is"" basis, and the user of this information assumes the entire risk of any use made of this information. Neither Grayscale, its affiliates, nor any other party makes any express or implied warranties or representations with respect to this information (or the results to be obtained by the use thereof), and Grayscale hereby expressly disclaims all warranties of originality, accuracy, completeness, merchantability or fitness for a particular purpose with respect to any of this information. Without limiting any of the foregoing, in no event shall Grayscale or any of its affiliates have any liability for any direct, indirect, special, punitive, consequential or any other damages (including lost profits) even if notified of the possibility of such damages."
2022/2/7,Grayscale Bitcoin Trust,btc,41.05,0.0877,0.0509,-0.285,0.1508,-0.0656,292.2143,30.56,0.093,-0.0059,-0.3708,-0.1932,-0.1077,0,692370100,28424245790,"This data is the exclusive property of Grayscale Investments, LLC (""Grayscale"") and may not be reproduced or disseminated in any form without prior written permission from Grayscale. This information is provided on an ""as is"" basis, and the user of this information assumes the entire risk of any use made of this information. Neither Grayscale, its affiliates, nor any other party makes any express or implied warranties or representations with respect to this information (or the results to be obtained by the use thereof), and Grayscale hereby expressly disclaims all warranties of originality, accuracy, completeness, merchantability or fitness for a particular purpose with respect to any of this information. Without limiting any of the foregoing, in no event shall Grayscale or any of its affiliates have any liability for any direct, indirect, special, punitive, consequential or any other damages (including lost profits) even if notified of the possibility of such damages."
2022/2/4,Grayscale Bitcoin Trust,btc,37.74,0.1169,-0.128,-0.3475,0.0616,-0.1409,268.5714,27.96,0.1352,-0.1933,-0.4279,-0.2632,-0.1836,0,692370100,26131402873,"This data is the exclusive property of Grayscale Investments, LLC (""Grayscale"") and may not be reproduced or disseminated in any form without prior written permission from Grayscale. This information is provided on an ""as is"" basis, and the user of this information assumes the entire risk of any use made of this information. Neither Grayscale, its affiliates, nor any other party makes any express or implied warranties or representations with respect to this information (or the results to be obtained by the use thereof), and Grayscale hereby expressly disclaims all warranties of originality, accuracy, completeness, merchantability or fitness for a particular purpose with respect to any of this information. Without limiting any of the foregoing, in no event shall Grayscale or any of its affiliates have any liability for any direct, indirect, special, punitive, consequential or any other damages (including lost profits) even if notified of the possibility of such damages."
2022/2/3,Grayscale Bitcoin Trust,btc,33.79,-0.0332,-0.2238,-0.4229,-0.0231,-0.2308,240.3571,24.63,-0.036,-0.2813,-0.5086,-0.3529,-0.2809,0,692370100,23397486875,"This data is the exclusive property of Grayscale Investments, LLC (""Grayscale"") and may not be reproduced or disseminated in any form without prior written permission from Grayscale. This information is provided on an ""as is"" basis, and the user of this information assumes the entire risk of any use made of this information. Neither Grayscale, its affiliates, nor any other party makes any express or implied warranties or representations with respect to this information (or the results to be obtained by the use thereof), and Grayscale hereby expressly disclaims all warranties of originality, accuracy, completeness, merchantability or fitness for a particular purpose with respect to any of this information. Without limiting any of the foregoing, in no event shall Grayscale or any of its affiliates have any liability for any direct, indirect, special, punitive, consequential or any other damages (including lost profits) even if notified of the possibility of such damages."
2022/2/2,Grayscale Bitcoin Trust,btc,34.95,-0.0256,-0.2044,-0.4015,0.063,-0.2044,248.6429,25.55,-0.027,-0.254,-0.4936,-0.3057,-0.254,0,692370100,24200409578,"This data is the exclusive property of Grayscale Investments, LLC (""Grayscale"") and may not be reproduced or disseminated in any form without prior written permission from Grayscale. This information is provided on an ""as is"" basis, and the user of this information assumes the entire risk of any use made of this information. Neither Grayscale, its affiliates, nor any other party makes any express or implied warranties or representations with respect to this information (or the results to be obtained by the use thereof), and Grayscale hereby expressly disclaims all warranties of originality, accuracy, completeness, merchantability or fitness for a particular purpose with respect to any of this information. Without limiting any of the foregoing, in no event shall Grayscale or any of its affiliates have any liability for any direct, indirect, special, punitive, consequential or any other damages (including lost profits) even if notified of the possibility of such damages."
2022/2/1,Grayscale Bitcoin Trust,btc,35.87,0.0246,-0.1835,-0.3733,0.1241,-0.1835,255.2143,26.26,0.0015,-0.2333,-0.4667,-0.2265,-0.2333,0,692370100,24837833449,"This data is the exclusive property of Grayscale Investments, LLC (""Grayscale"") and may not be reproduced or disseminated in any form without prior written permission from Grayscale. This information is provided on an ""as is"" basis, and the user of this information assumes the entire risk of any use made of this information. Neither Grayscale, its affiliates, nor any other party makes any express or implied warranties or representations with respect to this information (or the results to be obtained by the use thereof), and Grayscale hereby expressly disclaims all warranties of originality, accuracy, completeness, merchantability or fitness for a particular purpose with respect to any of this information. Without limiting any of the foregoing, in no event shall Grayscale or any of its affiliates have any liability for any direct, indirect, special, punitive, consequential or any other damages (including lost profits) even if notified of the possibility of such damages."
2022/1/31,Grayscale Bitcoin Trust,btc,35.01,0.0213,-0.2031,-0.3902,0.0448,-0.2031,249.0714,26.22,0.0186,-0.2345,-0.4724,-0.2442,-0.2345,0,692370100,24240056229,"This data is the exclusive property of Grayscale Investments, LLC (""Grayscale"") and may not be reproduced or disseminated in any form without prior written permission from Grayscale. This information is provided on an ""as is"" basis, and the user of this information assumes the entire risk of any use made of this information. Neither Grayscale, its affiliates, nor any other party makes any express or implied warranties or representations with respect to this information (or the results to be obtained by the use thereof), and Grayscale hereby expressly disclaims all warranties of originality, accuracy, completeness, merchantability or fitness for a particular purpose with respect to any of this information. Without limiting any of the foregoing, in no event shall Grayscale or any of its affiliates have any liability for any direct, indirect, special, punitive, consequential or any other damages (including lost profits) even if notified of the possibility of such damages."
2022/1/28,Grayscale Bitcoin Trust,btc,34.28,0.0133,-0.2499,-0.3886,0.145,-0.2197,243.8571,25.74,0.0676,-0.2909,-0.4713,-0.2339,-0.2485,0,692370100,23734566142,"This data is the exclusive property of Grayscale Investments, LLC (""Grayscale"") and may not be reproduced or disseminated in any form without prior written permission from Grayscale. This information is provided on an ""as is"" basis, and the user of this information assumes the entire risk of any use made of this information. Neither Grayscale, its affiliates, nor any other party makes any express or implied warranties or representations with respect to this information (or the results to be obtained by the use thereof), and Grayscale hereby expressly disclaims all warranties of originality, accuracy, completeness, merchantability or fitness for a particular purpose with respect to any of this information. Without limiting any of the foregoing, in no event shall Grayscale or any of its affiliates have any liability for any direct, indirect, special, punitive, consequential or any other damages (including lost profits) even if notified of the possibility of such damages."
2022/1/27,Grayscale Bitcoin Trust,btc,33.83,-0.0354,-0.2906,-0.3941,0.1546,-0.2299,240.6429,24.11,-0.0523,-0.3862,-0.4837,-0.2309,-0.2961,0,692370100,23424806697,"This data is the exclusive property of Grayscale Investments, LLC (""Grayscale"") and may not be reproduced or disseminated in any form without prior written permission from Grayscale. This information is provided on an ""as is"" basis, and the user of this information assumes the entire risk of any use made of this information. Neither Grayscale, its affiliates, nor any other party makes any express or implied warranties or representations with respect to this information (or the results to be obtained by the use thereof), and Grayscale hereby expressly disclaims all warranties of originality, accuracy, completeness, merchantability or fitness for a particular purpose with respect to any of this information. Without limiting any of the foregoing, in no event shall Grayscale or any of its affiliates have any liability for any direct, indirect, special, punitive, consequential or any other damages (including lost profits) even if notified of the possibility of such damages."
2022/1/26,Grayscale Bitcoin Trust,btc,35.07,0.0284,-0.2629,-0.3997,0.1559,-0.2017,249.5,25.44,0.0004,-0.35,-0.4852,-0.1921,-0.2572,0,692370100,24284797520,"This data is the exclusive property of Grayscale Investments, LLC (""Grayscale"") and may not be reproduced or disseminated in any form without prior written permission from Grayscale. This information is provided on an ""as is"" basis, and the user of this information assumes the entire risk of any use made of this information. Neither Grayscale, its affiliates, nor any other party makes any express or implied warranties or representations with respect to this information (or the results to be obtained by the use thereof), and Grayscale hereby expressly disclaims all warranties of originality, accuracy, completeness, merchantability or fitness for a particular purpose with respect to any of this information. Without limiting any of the foregoing, in no event shall Grayscale or any of its affiliates have any liability for any direct, indirect, special, punitive, consequential or any other damages (including lost profits) even if notified of the possibility of such damages."
