,close,open,high,low,volume,change
2020-01-01,,,,,,
2020-01-02,12.47,13.46,13.72,12.42,-,-9.51%
2020-01-03,14.02,15.01,16.2,13.13,-,12.43%
2020-01-04,13.963333333333333,15.156666666666666,16.263333333333332,13.266666666666667,,
2020-01-05,13.906666666666666,15.303333333333333,16.326666666666668,13.403333333333332,,
2020-01-06,13.85,15.45,16.39,13.54,-,-1.21%
2020-01-07,13.79,13.84,14.46,13.39,-,-0.43%
2020-01-08,13.45,15.16,15.24,12.83,-,-2.47%
2020-01-09,12.54,12.95,13.24,12.53,-,-6.77%
2020-01-10,12.56,12.42,12.87,12.09,-,0.16%
2020-01-11,12.48,12.56,12.943333333333333,12.166666666666666,,
2020-01-12,12.4,12.7,13.016666666666666,12.243333333333334,,
2020-01-13,12.32,12.84,13.09,12.32,-,-1.91%
2020-01-14,12.39,12.72,13.82,12.05,-,0.57%
2020-01-15,12.42,12.79,12.83,11.95,-,0.24%
2020-01-16,12.32,12.2,12.42,11.78,-,-0.81%
2020-01-17,12.1,12.21,12.48,11.75,-,-1.79%
2020-01-18,12.2875,12.465,12.6925,11.8925,,
2020-01-19,12.475,12.72,12.905000000000001,12.035,,
2020-01-20,12.6625,12.975000000000001,13.1175,12.1775,,
2020-01-21,12.85,13.23,13.33,12.32,-,6.20%
2020-01-22,12.91,12.45,13.01,12.31,-,0.47%
2020-01-23,12.98,13.26,14.15,12.94,-,0.54%
2020-01-24,14.56,12.75,15.98,12.62,-,12.17%
2020-01-25,15.783333333333333,14.306666666666667,16.993333333333332,14.02,,
2020-01-26,17.006666666666668,15.863333333333335,18.006666666666668,15.42,,
2020-01-27,18.23,17.42,19.02,16.82,-,25.21%
2020-01-28,16.28,16.94,18.03,15.69,-,-10.70%
2020-01-29,16.39,15.68,16.65,14.94,-,0.68%
2020-01-30,15.49,17.82,18.39,15.3,-,-5.49%
2020-01-31,18.84,16.25,19.99,16.18,-,21.63%
2020-02-01,18.55,17.046666666666667,19.619999999999997,16.486666666666668,,
2020-02-02,18.259999999999998,17.843333333333334,19.25,16.793333333333333,,
2020-02-03,17.97,18.64,18.88,17.1,-,-4.62%
2020-02-04,16.05,16.45,16.46,15.63,-,-10.68%
2020-02-05,15.15,16.29,16.32,15.02,-,-5.61%
2020-02-06,14.96,15.13,15.66,14.7,-,-1.25%
2020-02-07,15.47,15.07,16.16,14.81,-,3.41%
2020-02-08,15.326666666666666,15.34,16.25,14.876666666666667,,
2020-02-09,15.183333333333334,15.610000000000001,16.34,14.943333333333333,,
