,Holdings/Share,Market Price/Share
2019-12-31,,
2020-01-01,,
2020-01-02,6.83,7.98
2020-01-03,6.99,8.56
2020-01-04,7.083333333333333,8.706666666666667
2020-01-05,7.176666666666667,8.853333333333333
2020-01-06,7.27,9.0
2020-01-07,7.64,10.1
2020-01-08,7.96,9.33
2020-01-09,7.68,9.35
2020-01-10,7.66,9.6
2020-01-11,7.723333333333334,9.549999999999999
2020-01-12,7.786666666666666,9.5
2020-01-13,7.85,9.45
2020-01-14,8.29,10.06
2020-01-15,8.48,10.0
2020-01-16,8.42,9.72
2020-01-17,8.58,10.07
2020-01-18,8.5225,9.9825
2020-01-19,8.465,9.895
2020-01-20,8.407499999999999,9.807500000000001
2020-01-21,8.35,9.72
2020-01-22,8.4,9.53
2020-01-23,8.16,8.98
2020-01-24,8.11,9.48
2020-01-25,8.226666666666667,9.6
2020-01-26,8.343333333333334,9.72
2020-01-27,8.46,9.84
2020-01-28,8.74,10.12
2020-01-29,9.01,10.82
2020-01-30,9.06,11.31
2020-01-31,9.05,10.82
2020-02-01,9.053333333333335,10.74
2020-02-02,9.056666666666667,10.66
2020-02-03,9.06,10.58
2020-02-04,8.9,10.51
2020-02-05,9.14,11.51
2020-02-06,9.38,11.72
2020-02-07,9.45,11.77
2020-02-08,9.506666666666666,11.906666666666666
2020-02-09,9.563333333333333,12.043333333333333
2020-02-10,9.62,12.18
2020-02-11,9.69,13.0
2020-02-12,10.0,13.05
2020-02-13,9.96,12.53
2020-02-14,9.91,13.19
2020-02-15,9.8125,13.2575
2020-02-16,9.715,13.325
2020-02-17,9.6175,13.3925
2020-02-18,9.52,13.46
2020-02-19,9.82,13.12
2020-02-20,9.28,12.32
2020-02-21,9.36,12.47
2020-02-22,9.376666666666667,12.216666666666667
2020-02-23,9.393333333333333,11.963333333333335
2020-02-24,9.41,11.71
2020-02-25,9.16,10.53
2020-02-26,8.71,10.35
2020-02-27,8.49,10.53
2020-02-28,8.37,9.85
2020-02-29,8.386666666666667,10.016666666666666
2020-03-01,8.403333333333332,10.183333333333334
2020-03-02,8.42,10.35
2020-03-03,8.5,10.0
2020-03-04,8.46,10.04
2020-03-05,8.69,10.93
2020-03-06,8.78,10.6
2020-03-07,8.399999999999999,10.023333333333333
2020-03-08,8.02,9.446666666666665
2020-03-09,7.64,8.87
2020-03-10,7.66,9.27
2020-03-11,7.57,8.6
2020-03-12,6.23,6.44
2020-03-13,5.0,6.28
2020-03-14,4.96,6.033333333333333
2020-03-15,4.92,5.786666666666667
2020-03-16,4.88,5.54
2020-03-17,5.04,6.1
2020-03-18,5.11,6.01
2020-03-19,5.61,7.2
2020-03-20,6.23,7.0
2020-03-21,6.116666666666667,7.0633333333333335
2020-03-22,6.003333333333333,7.126666666666667
2020-03-23,5.89,7.19
2020-03-24,6.37,7.55
2020-03-25,6.46,7.35
2020-03-26,6.42,7.36
2020-03-27,6.47,7.3
2020-03-28,6.303333333333333,7.216666666666667
2020-03-29,6.136666666666667,7.133333333333333
2020-03-30,5.97,7.05
2020-03-31,6.24,7.12
2020-04-01,6.07,6.49
2020-04-02,6.53,7.72
2020-04-03,6.58,7.48
2020-04-04,6.656666666666666,7.636666666666667
2020-04-05,6.733333333333333,7.793333333333334
2020-04-06,6.81,7.95
2020-04-07,7.08,7.66
2020-04-08,7.0,7.85
2020-04-09,7.04,7.8
2020-04-10,6.73,7.8
2020-04-11,6.663333333333334,7.616666666666666
2020-04-12,6.596666666666667,7.433333333333334
2020-04-13,6.53,7.25
2020-04-14,6.63,7.33
2020-04-15,6.56,7.15
2020-04-16,6.61,7.66
2020-04-17,6.83,7.49
2020-04-18,6.806666666666667,7.426666666666667
2020-04-19,6.783333333333333,7.363333333333333
2020-04-20,6.76,7.3
2020-04-21,6.61,7.44
2020-04-22,6.75,7.7
2020-04-23,7.11,8.62
2020-04-24,7.25,8.55
2020-04-25,7.306666666666667,8.63
2020-04-26,7.363333333333333,8.709999999999999
2020-04-27,7.42,8.79
2020-04-28,7.44,8.4
2020-04-29,8.01,9.6
2020-04-30,8.59,9.87
2020-05-01,8.47,9.47
2020-05-02,8.46,9.623333333333333
2020-05-03,8.45,9.776666666666667
2020-05-04,8.44,9.93
2020-05-05,8.6,10.03
2020-05-06,8.83,10.76
2020-05-07,9.17,11.98
2020-05-08,9.55,11.45
2020-05-09,9.156666666666666,11.059999999999999
2020-05-10,8.763333333333334,10.67
2020-05-11,8.37,10.28
2020-05-12,8.42,10.63
2020-05-13,8.66,11.21
2020-05-14,9.19,11.8
2020-05-15,9.21,11.07
2020-05-16,9.26,11.183333333333334
2020-05-17,9.31,11.296666666666667
2020-05-18,9.36,11.41
2020-05-19,9.31,11.41
2020-05-20,9.25,11.23
2020-05-21,8.83,10.58
2020-05-22,8.76,10.66
2020-05-23,8.6975,10.5375
2020-05-24,8.635,10.415
2020-05-25,8.5725,10.2925
2020-05-26,8.51,10.17
2020-05-27,8.69,10.54
2020-05-28,8.96,10.88
2020-05-29,9.11,10.89
2020-05-30,9.126666666666667,11.02
2020-05-31,9.143333333333333,11.15
2020-06-01,9.16,11.28
2020-06-02,9.5,11.41
2020-06-03,9.17,11.34
2020-06-04,9.31,11.73
2020-06-05,9.36,11.25
2020-06-06,9.356666666666666,11.36
2020-06-07,9.353333333333333,11.47
2020-06-08,9.35,11.58
2020-06-09,9.33,11.53
2020-06-10,9.43,12.29
2020-06-11,9.2,10.8
2020-06-12,9.01,10.88
2020-06-13,8.95,10.883333333333335
2020-06-14,8.89,10.886666666666667
2020-06-15,8.83,10.89
2020-06-16,9.11,10.91
2020-06-17,9.07,10.7
2020-06-18,9.02,10.58
2020-06-19,8.96,10.31
2020-06-20,9.003333333333334,10.396666666666667
2020-06-21,9.046666666666667,10.483333333333334
2020-06-22,9.09,10.57
2020-06-23,9.27,10.95
2020-06-24,9.03,10.2
2020-06-25,8.83,10.14
2020-06-26,8.8,9.7
2020-06-27,8.776666666666667,9.629999999999999
2020-06-28,8.753333333333334,9.56
2020-06-29,8.73,9.49
2020-06-30,8.79,9.61
2020-07-01,8.85,9.697333333333333
2020-07-02,8.909999999999998,9.784666666666666
2020-07-03,8.969999999999999,9.872
2020-07-04,9.03,9.959333333333333
2020-07-05,9.09,10.046666666666667
2020-07-06,9.149999999999999,10.134
2020-07-07,9.209999999999999,10.221333333333334
2020-07-08,9.27,10.308666666666666
2020-07-09,9.33,10.395999999999999
2020-07-10,9.389999999999999,10.483333333333333
2020-07-11,9.45,10.570666666666666
2020-07-12,9.51,10.658
2020-07-13,9.57,10.745333333333333
2020-07-14,9.629999999999999,10.832666666666666
2020-07-15,9.69,10.92
2020-07-16,9.75,11.007333333333333
2020-07-17,9.809999999999999,11.094666666666667
2020-07-18,9.87,11.182
2020-07-19,9.93,11.269333333333334
2020-07-20,9.99,11.356666666666667
2020-07-21,10.049999999999999,11.443999999999999
2020-07-22,10.11,11.531333333333333
2020-07-23,10.17,11.618666666666666
2020-07-24,10.23,11.706
2020-07-25,10.29,11.793333333333333
2020-07-26,10.35,11.880666666666666
2020-07-27,10.41,11.968
2020-07-28,10.469999999999999,12.055333333333333
2020-07-29,10.53,12.142666666666667
2020-07-30,10.59,12.23
2020-07-31,10.74,12.82
2020-08-01,10.75,12.993333333333334
2020-08-02,10.76,13.166666666666666
2020-08-03,10.77,13.34
2020-08-04,10.76,13.2
2020-08-05,10.99,13.84
2020-08-06,11.25,14.44
2020-08-07,11.17,13.06
2020-08-08,11.24,13.27
2020-08-09,11.31,13.48
2020-08-10,11.38,13.69
2020-08-11,11.15,12.55
2020-08-12,10.92,13.11
2020-08-13,11.02,13.11
2020-08-14,11.24,13.4
2020-08-15,11.36,13.85
2020-08-16,11.48,14.3
2020-08-17,11.6,14.75
2020-08-18,11.63,14.38
2020-08-19,11.31,13.71
2020-08-20,11.27,14.16
2020-08-21,11.25,13.58
2020-08-22,11.243333333333334,13.626666666666667
2020-08-23,11.236666666666666,13.673333333333334
2020-08-24,11.23,13.72
2020-08-25,10.96,13.0
2020-08-26,10.89,13.38
2020-08-27,10.86,12.88
2020-08-28,10.93,13.2
2020-08-29,11.013333333333334,13.309999999999999
2020-08-30,11.096666666666666,13.42
2020-08-31,11.18,13.53
2020-09-01,11.34,13.85
2020-09-02,11.03,13.2
2020-09-03,10.46,12.02
2020-09-04,9.88,12.01
2020-09-05,9.8325,11.785
2020-09-06,9.785,11.559999999999999
2020-09-07,9.7375,11.334999999999999
2020-09-08,9.69,11.11
2020-09-09,9.69,11.56
2020-09-10,9.88,11.38
2020-09-11,9.84,11.22
2020-09-12,9.906666666666666,11.43
2020-09-13,9.973333333333333,11.64
2020-09-14,10.04,11.85
2020-09-15,10.29,11.95
2020-09-16,10.42,12.06
2020-09-17,10.41,11.93
2020-09-18,10.44,11.74
2020-09-19,10.336666666666666,11.540000000000001
2020-09-20,10.233333333333334,11.34
2020-09-21,10.13,11.14
2020-09-22,10.0,11.27
2020-09-23,9.98,10.6
2020-09-24,9.95,11.17
2020-09-25,10.18,11.23
2020-09-26,10.25,11.206666666666667
2020-09-27,10.32,11.183333333333334
2020-09-28,10.39,11.16
2020-09-29,10.25,11.03
2020-09-30,10.26,10.97
2020-10-01,10.22,10.87
2020-10-02,10.04,10.86
2020-10-03,10.1,11.0
2020-10-04,10.16,11.139999999999999
2020-10-05,10.22,11.28
2020-10-06,10.2,10.85
2020-10-07,10.13,10.97
2020-10-08,10.28,11.86
2020-10-09,10.5,11.77
2020-10-10,10.6125,11.925
2020-10-11,10.725,12.08
2020-10-12,10.837499999999999,12.235
2020-10-13,10.95,12.39
2020-10-14,10.89,12.2
2020-10-15,10.87,12.46
2020-10-16,10.85,12.43
2020-10-17,10.926666666666666,12.563333333333333
2020-10-18,11.003333333333334,12.696666666666667
2020-10-19,11.08,12.83
2020-10-20,11.32,13.31
2020-10-21,11.88,14.3
2020-10-22,12.33,14.63
2020-10-23,12.36,14.38
2020-10-24,12.386666666666667,14.38
2020-10-25,12.413333333333332,14.38
2020-10-26,12.44,14.38
2020-10-27,12.78,15.67
2020-10-28,12.79,14.91
2020-10-29,12.7,15.26
2020-10-30,12.77,15.38
2020-10-31,12.823333333333332,15.423333333333334
2020-11-01,12.876666666666667,15.466666666666667
2020-11-02,12.93,15.51
2020-11-03,12.96,15.42
2020-11-04,13.26,15.86
2020-11-05,14.08,17.26
2020-11-06,14.83,17.54
2020-11-07,14.763333333333334,17.39
2020-11-08,14.696666666666667,17.24
2020-11-09,14.63,17.09
2020-11-10,14.59,16.51
2020-11-11,14.870000000000001,17.375
2020-11-12,15.15,18.24
2020-11-13,15.5,17.96
2020-11-14,15.54,18.26
2020-11-15,15.58,18.56
2020-11-16,15.62,18.86
2020-11-17,16.42,20.16
2020-11-18,17.01,19.64
2020-11-19,16.98,20.1
2020-11-20,17.46,21.24
2020-11-21,17.493333333333332,21.536666666666665
2020-11-22,17.526666666666667,21.833333333333332
2020-11-23,17.56,22.13
2020-11-24,17.99,22.35
2020-11-25,18.17,20.87
2020-11-26,17.15,19.85
2020-11-27,16.13,18.83
2020-11-28,16.806666666666665,20.28333333333333
2020-11-29,17.483333333333334,21.736666666666668
2020-11-30,18.16,23.19
2020-12-01,18.24,23.74
2020-12-02,17.99,23.39
2020-12-03,18.35,24.0
2020-12-04,18.21,23.22
2020-12-05,18.226666666666667,22.966666666666665
2020-12-06,18.243333333333336,22.713333333333335
2020-12-07,18.26,22.46
2020-12-08,18.01,20.98
2020-12-09,17.35,20.07
2020-12-10,17.4,21.49
2020-12-11,17.06,20.61
2020-12-12,17.44333333333333,21.16
2020-12-13,17.826666666666668,21.71
2020-12-14,18.21,22.26
2020-12-15,18.39,23.26
2020-12-16,19.21,25.8
2020-12-17,21.5,28.25
2020-12-18,21.71,29.48
2020-12-19,21.803333333333335,29.93
2020-12-20,21.896666666666665,30.38
2020-12-21,21.99,30.83
2020-12-22,21.93,30.39
2020-12-23,22.39,28.87
2020-12-24,22.0,27.32
