,0
zigusdt,164891.48757192065
walletusdt,38394.65939667327
hbbusdt,270705.4543036572
smtusdt,76.51847907208851
scusdt,5109.847470463632
rlyusdt,46923.70776399928
polcusdt,3745688.3299858673
ogousdt,26.073155303042864
elfusdt,283285.26548645424
aliceusdt,4257420.552439961
wbtcusdt,3009687537.9338627
atpusdt,35.87147646939512
wozxusdt,49433.67058459538
massusdt,1412.6751353480788
vpadusdt,557452.1317923856
aaveusdt,1231268948.6278634
ankrusdt,54807.18837582898
jstusdt,1018554.9530736454
diousdt,478867.5130256354
stfusdt,1741.3764213659133
vrausdt,418078.3539448699
crousdt,2059866.196915392
paiusdt,69.52242171714242
wpciusdt,896458.2812876184
cereusdt,39606.136138499096
lootusdt,300893.0682536075
diausdt,61802.10640256093
dogeusdt,2794421.5172877978
zenusdt,18643740.706115946
radusdt,3776399.032894125
sdusdt,5348194.446228683
reefusdt,2522.878157164153
snsusdt,21983.745496109794
latusdt,9242.157978556517
lxtusdt,23.881203145281876
mggusdt,6187.803733981964
kmausdt,1282.086935370039
mirusdt,1370694.2819951668
gnxusdt,1052.198969017738
titanusdt,220458.36486032957
btmusdt,2553.331513427363
bicousdt,6778179.955280876
zksusdt,48581.533452338495
bethusdt,166172292.73445636
poktusdt,3098960.3778668917
kcashusdt,62.226026582090974
gariusdt,728650.2206166136
storeusdt,29840.52294825487
hotusdt,783.3453773490575
glmusdt,88199.88811463435
yeeusdt,69.67118644066215
vsysusdt,1137.9540943061272
nftusdt,83.44779843278923
batusdt,1257975.2359645185
sntusdt,18154.736470497017
flokiusdt,15.015699083273066
xmrusdt,527100344.38513494
zkpusdt,79909.38298452582
chrusdt,420451.98424386635
xcadusdt,249590.47716680117
dydxusdt,20886776.56839457
manausdt,30329506.85439117
dacusdt,10.158218786734261
etcusdt,334357844.3893684
ektusdt,73.31721930178199
swrvusdt,23182.384970675284
boringusdt,7056.123055451037
pearlusdt,314118.95394729805
traceusdt,94074.62525564164
steemusdt,2719996.7757310895
aiozusdt,13537.498353581754
polsusdt,482660.373483933
auryusdt,398941.1570776894
hptusdt,84.65076461455547
stptusdt,11683.443564012347
tnbusdt,59.2637205647576
icxusdt,250478.33563518868
akrousdt,3888.277784274672
actusdt,300.23182145944907
dotusdt,411195956.262091
superusdt,258421.02714863498
linkusdt,384040199.88296473
lrcusdt,3543877.380945939
warusdt,15715.598058568828
ktusdt,13365.878567849293
monousdt,127157.75731415728
paxusdt,112836.10702771154
trxusdt,2400219.1879801853
lptusdt,15310378.540054895
mboxusdt,2810082.419622942
grtusdt,1383588.7390779594
epikusdt,48388.703053789686
wndusdt,1084121.0217588642
mcusdt,115081.1197962941
cvcusdt,100889.05505370874
talkusdt,100552.51743776801
atsusdt,355179.0252784866
zecusdt,614435625.2505653
winusdt,9927.420560669538
movrusdt,13480525.87906822
bixusdt,3634.0110052502832
dhtusdt,10842.923964943247
utkusdt,111575.30000903673
nhbtcusdt,816.4639438856342
xecusdt,23.998980566472333
lbausdt,27.91338790325293
nasusdt,45231.93882745388
peopleusdt,501742.89092281304
egldusdt,52413151.53868001
aurorausdt,2717298.8985038665
sushiusdt,28935707.683062013
sxpusdt,1215417.0950868032
nearusdt,332534204.34273446
nodeusdt,2.3331640093993467
clvusdt,102756.3933493246
cmtusdt,118.02283832887439
spellusdt,5894.903181952337
forthusdt,1382212.4777478378
xrtusdt,581544.5976629835
tusdusdt,2565235.406303792
ethusdt,799840989832.8778
xprtusdt,1971712.381118381
pluusdt,481461.691011916
hitusdt,1.23204160601744
lithusdt,619.07590654289
holousdt,98.86187022926899
unbusdt,2275.730981887393
sunusdt,352347.94198052265
nsureusdt,1485.6138575192876
sosusdt,3.7292738023231933
htusdt,115683265.8607005
nknusdt,46643.36894545973
slcusdt,2820294.6501891045
btcusdt,17196670813759.2
omgusdt,13802258.153953547
imxusdt,21280326.220569264
opulusdt,183442.0712163395
fisusdt,96277.86836127682
skuusdt,3313.250026111892
apeusdt,1373182130.0783765
pondusdt,15129.334688009843
balusdt,2288279.9007126195
iotausdt,624852.5080579914
frontusdt,210535.63897781077
eosusdt,29505992.07187973
pyrusdt,3416400.745479955
radarusdt,5148.807152402355
gmeeusdt,19519.799475145915
mxusdt,911522.1059117349
ruffusdt,39.48664922954555
scrtusdt,2636758.0897219926
spellfireusdt,24311.939578867812
arpausdt,39127.753085920274
looksusdt,30007125.093523137
celousdt,1375258.177406258
dashusdt,299679751.5487568
lhbusdt,36.27751214881871
astusdt,6364.268975384861
trbusdt,2736391.54393406
achusdt,275434.96992519347
phausdt,265263.8978041314
ernusdt,2938233.225601732
nexousdt,3918655.137532387
socusdt,464.66813001913766
pstakeusdt,1095148.7703492513
godsusdt,968040.1874008565
newusdt,317.8495706841862
zilusdt,96110.35326048674
cvpusdt,146414.20622466522
galausdt,7055206.276408525
mkrusdt,649509743.8396318
arusdt,93645607.55767603
fxusdt,483097.48404508596
tribeusdt,169320.906831899
pvtusdt,0.7589153212684588
bchusdt,3020858107.1486735
upiusdt,18230.86102704648
ringusdt,1457.4614404521608
ctxusdt,260415.542050596
ognusdt,199580.96427111374
canusdt,65.50261859147334
boousdt,1384410.8577552256
lokausdt,531352.7419301285
abtusdt,11505.283542004112
rainusdt,173479.8805097609
idexusdt,60659.29307393015
gearusdt,282948.4314154195
gstusdt,533652.6853798674
lunausdt,3633104717.918473
bitusdt,116111.31122357442
wiccusdt,88192.12618615993
loveusdt,1225.5962846053449
elausdt,1357029.9952077034
phcrusdt,493.16165583434173
requsdt,69899.15375240975
lqtyusdt,746821.1429141277
xtmusdt,278043.70316434937
hcusdt,7609.1382650042915
ctsiusdt,295495.45264354954
aacusdt,757.4973601659258
pushusdt,173846.81270221467
badgerusdt,2916778.904060273
ftiusdt,1.933368309517931
rndrusdt,6746592.817364399
iostusdt,26461.36135944624
yggusdt,3338099.009551019
ntusdt,6783.211044415655
atomusdt,662905267.0407917
csprusdt,239422.4713194262
rsrusdt,21347.40695197041
hecusdt,746703.3554164576
gtusdt,489188.5120557692
daiusdt,659080.8178573508
yfiiusdt,365668702.4637364
screamusdt,1581429.4140343221
crvusdt,30291973.542076476
forusdt,36820.07761046832
chsbusdt,6288.0220143522465
mdsusdt,10.667574040711575
letusdt,33.813821408080976
swftcusdt,585.6929629278612
sukuusdt,35490.569595271714
wildusdt,54786.7366235057
bsvusdt,237232017.69671866
nanousdt,1223548.4676847288
1inchusdt,3279352.2378194504
yfiusdt,48542231778.453835
multiusdt,421207.1219529081
jasmyusdt,49528.58222527245
uuuusdt,4.048152783711908
chzusdt,671467.1123072061
enjusdt,8709505.355905924
gfusdt,1457836.2889199643
bullusdt,65927.01159566299
cruusdt,1558650.3047951432
arknusdt,159989.2679347551
xemusdt,34295.198217381985
crptusdt,262505.91862166504
storjusdt,568294.8360080082
ocnusdt,2.6090816721226466
whaleusdt,392792.5351480922
uipusdt,13.22904459317925
erthausdt,249147.75231693636
cotiusdt,429433.6389580575
nglusdt,473070.2103104859
flowusdt,50724018.58929937
neousdt,20852720.12892175
sandusdt,66909168.83348347
c98usdt,628459.7919402729
kavausdt,2962492.3244102714
rlcusdt,200733.43864157223
nulsusdt,114893.89850651937
maskusdt,7979473.124390015
orbusdt,417929.03525765636
tlmusdt,20261.35582170916
stnusdt,1346.4973249013335
polyusdt,65393.191384423975
zrxusdt,302116.7468317952
fildausdt,843.9782940351649
acausdt,1049158.5631300616
mplusdt,884487.439538331
injusdt,9711380.158265006
linausdt,8004.9574578662605
btsusdt,4187.283620351496
sdnusdt,147010.0093462766
xlmusdt,737448.2885437774
edenusdt,87098.11133363591
insurusdt,644562.1789675138
xtzusdt,12054724.371141974
usdcusdt,3117095.5091285105
tracusdt,89352.53290767485
rankerusdt,785074.5832994299
efiusdt,1100575.256650404
dkausdt,12817.757705349273
ontusdt,298535.8416999225
kanusdt,49.60034447574463
wxtusdt,273.07124024923496
starlyusdt,58749.81848288601
dtausdt,1.8253891050107691
lambusdt,248.49872143770065
xrpusdt,26483656.88478598
hotcrossusdt,7260254.021208865
bttusdt,51.14912402154177
seeleusdt,3429.6379638854028
vetusdt,171297.90524183802
dfausdt,4157117.461247473
oceanusdt,82949.31078963359
galusdt,111122.585253305
elonusdt,0.24758806400110894
irisusdt,24169.51795097288
nbsusdt,1631.9440689838495
onstonusdt,859375.3504950531
astrusdt,173871.17410110307
indiusdt,20259.62622191965
qrdousdt,468676.30957794137
waxpusdt,280179.40880383056
woousdt,3096142.872374611
unicusdt,3518222.6984265824
avaxusdt,1382341218.3183098
hiveusdt,185172.545299273
ctxcusdt,161293.0539219346
ancusdt,1060702.7665150175
adausdt,25720425.875364903
filusdt,492703464.2634214
bagsusdt,196060.6567460647
unfiusdt,210398.1873678018
wnxmusdt,3757803.188025831
bobausdt,552548.52678796
agldusdt,535477.4720743422
blzusdt,25972.30687584978
axsusdt,347782607.7973862
sofiusdt,29846.207401068987
mlnusdt,15334405.4349027
ustusdt,5077547.152398176
itcusdt,374.39036883021447
fsnusdt,65135.00346817031
fttusdt,206192111.76551116
oneusdt,1075823.1105864807
cnnsusdt,21.05129486491877
ftmusdt,22197833.65065582
nestusdt,4593.216968560362
wavesusdt,88255167.38324928
uniusdt,100321561.6601922
stakeusdt,789128.9868383209
skmusdt,183.79583394572958
gmpdusdt,101253.02782683338
xyousdt,671.1189544360718
ensusdt,55558873.46125928
ckbusdt,10187.212041177245
kncusdt,1434048.8897487714
topusdt,36.8668903014763
aeusdt,3443.005525300685
ttusdt,37016.45526865239
cvxusdt,10398815.626974605
auctionusdt,4919364.690922235
shibusdt,782.6232765665742
srmusdt,2971660.000764913
dockusdt,3176.1068591171907
