,result,cost
0,11019005.93,9561.41
1,10919441.5,9427.14
2,10937558.98,9513.1
3,11065946.48,9493.8
4,11117668.21,9225.51
5,11534241.23,10059.93
6,10938543.21,9449.41
7,10987372.29,9425.23
8,11042677.06,9353.37
9,11086440.83,9328.69
10,10969307.86,9494.53
11,10983951.95,9346.57
12,11108047.65,9479.06
13,11114248.84,9548.23
14,11117492.49,9565.16
15,11382048.65,9651.6
16,10982250.35,9480.79
17,11171809.98,9758.14
18,10956655.13,9412.71
19,11258146.39,9812.6
20,11021101.56,9157.06
21,10941776.58,9431.88
22,10867419.46,9426.19
23,11289413.74,9856.47
24,11167047.62,9587.18
25,11165552.93,9506.33
26,11281140.84,9788.91
27,10984227.84,9463.41
28,10994571.78,9571.06
29,11105754.26,9556.54
